Operasi,Volume File (MB),Jumlah client worker pool,Client executor type,Server executor type,Jumlah server worker pool,Waktu total per client (s),Throughput per client (MB/s),Jumlah worker client sukses,Jumlah worker client gagal
GET,10,1,thread,thread,1,0.05,216.70,1,0
GET,10,1,process,thread,1,0.01,1080.28,1,0
GET,10,5,thread,thread,1,0.03,484.45,5,0
GET,10,5,process,thread,1,0.04,273.04,5,0
GET,10,50,thread,thread,1,0.23,63.65,50,0
GET,10,50,process,thread,1,0.17,87.40,50,0
GET,50,1,thread,thread,1,0.17,287.66,1,0
GET,50,1,process,thread,1,0.03,1784.22,1,0
GET,50,5,thread,thread,1,0.12,666.60,5,0
GET,50,5,process,thread,1,0.11,644.24,5,0
GET,50,50,thread,thread,1,1.08,105.09,50,0
GET,50,50,process,thread,1,1.00,69.95,50,0
GET,100,1,thread,thread,1,0.39,258.76,1,0
GET,100,1,process,thread,1,0.07,1376.03,1,0
GET,100,5,thread,thread,1,0.25,593.87,5,0
GET,100,5,process,thread,1,0.29,474.47,5,0
GET,100,50,thread,thread,1,2.29,90.28,50,0
GET,100,50,process,thread,1,2.03,73.01,50,0
UPLOAD,10,1,thread,thread,1,0.12,81.18,1,0
UPLOAD,10,1,process,thread,1,0.10,101.23,1,0
UPLOAD,10,5,thread,thread,1,0.37,28.87,5,0
UPLOAD,10,5,process,thread,1,0.34,34.29,5,0
UPLOAD,10,50,thread,thread,1,3.68,2.93,50,0
UPLOAD,10,50,process,thread,1,2.01,6.97,50,0
UPLOAD,50,1,thread,thread,1,0.81,61.66,1,0
UPLOAD,50,1,process,thread,1,0.81,61.40,1,0
UPLOAD,50,5,thread,thread,1,3.03,19.29,5,0
UPLOAD,50,5,process,thread,1,2.25,29.04,5,0
UPLOAD,50,50,thread,thread,1,27.56,2.20,50,0
UPLOAD,50,50,process,thread,1,18.42,4.39,50,0
UPLOAD,100,1,thread,thread,1,2.59,38.58,1,0
UPLOAD,100,1,process,thread,1,2.53,39.51,1,0
UPLOAD,100,5,thread,thread,1,8.34,14.25,5,0
UPLOAD,100,5,process,thread,1,7.06,18.55,5,0
UPLOAD,100,50,thread,thread,1,78.71,1.59,50,0
UPLOAD,100,50,process,thread,1,66.84,2.76,50,0
