Operasi,Volume File (MB),Jumlah client worker pool,Client executor type,Server executor type,Jumlah server worker pool,Waktu total per client (s),Throughput per client (MB/s),Jumlah worker client sukses,Jumlah worker client gagal
GET,10,1,thread,thread,5,0.04,230.59,1,0
GET,10,1,process,thread,5,0.01,869.59,1,0
GET,10,5,thread,thread,5,0.02,470.83,5,0
GET,10,5,process,thread,5,0.01,782.14,5,0
GET,10,50,thread,thread,5,0.13,99.90,50,0
GET,10,50,process,thread,5,0.06,175.82,50,0
GET,50,1,thread,thread,5,0.17,294.93,1,0
GET,50,1,process,thread,5,0.06,781.38,1,0
GET,50,5,thread,thread,5,0.10,508.34,5,0
GET,50,5,process,thread,5,0.06,772.88,5,0
GET,50,50,thread,thread,5,0.61,120.93,50,0
GET,50,50,process,thread,5,0.31,182.52,50,0
GET,100,1,thread,thread,5,0.38,264.80,1,0
GET,100,1,process,thread,5,0.07,1390.40,1,0
GET,100,5,thread,thread,5,0.22,452.58,5,0
GET,100,5,process,thread,5,0.12,836.69,5,0
GET,100,50,thread,thread,5,1.30,119.51,50,0
GET,100,50,process,thread,5,0.68,191.11,50,0
UPLOAD,10,1,thread,thread,5,0.12,85.43,1,0
UPLOAD,10,1,process,thread,5,0.09,105.64,1,0
UPLOAD,10,5,thread,thread,5,0.42,24.08,5,0
UPLOAD,10,5,process,thread,5,0.32,31.14,5,0
UPLOAD,10,50,thread,thread,5,3.33,3.12,50,0
UPLOAD,10,50,process,thread,5,1.89,6.44,50,0
UPLOAD,50,1,thread,thread,5,0.83,60.22,1,0
UPLOAD,50,1,process,thread,5,0.80,62.17,1,0
UPLOAD,50,5,thread,thread,5,3.76,13.35,5,0
UPLOAD,50,5,process,thread,5,3.05,16.56,5,0
UPLOAD,50,50,thread,thread,5,26.75,2.17,50,0
UPLOAD,50,50,process,thread,5,18.68,3.73,50,0
UPLOAD,100,1,thread,thread,5,2.53,39.51,1,0
UPLOAD,100,1,process,thread,5,2.46,40.59,1,0
UPLOAD,100,5,thread,thread,5,11.25,8.96,5,0
UPLOAD,100,5,process,thread,5,10.25,9.81,5,0
UPLOAD,100,50,thread,thread,5,79.35,1.52,50,0
UPLOAD,100,50,process,thread,5,64.40,2.19,50,0
